一貫性	N1
主観的	N1
仮説	N1
仲裁	N1
余波	N1
信憑性	N1
倫理	N1
優越感	N1
兆候	N1
先入観	N1
克明	N1
再生可能	N1
冠婚葬祭	N1
包括的	N1
厳粛	N1
告訴	N1
品格	N1
器量	N1
固定観念	N1
妥当性	N1
安堵	N1
客観性	N1
干ばつ	N1
度量	N1
急性	N1
慢性	N1
抜本的	N1
損益	N1
敵意	N1
有効性	N1
有罪	N1
根深い	N1
汚職	N1
洞察	N1
漏洩	N1
無罪	N1
物悲しい	N1
特異	N1
特質	N1
理性的	N1
甚大	N1
生態系	N1
省庁	N1
示唆	N1
社会保障	N1
神道	N1
精緻	N1
素養	N1
維新	N1
緻密	N1
罰則	N1
義務化	N1
考察	N1
荘厳	N1
著作	N1
著作権	N1
葛藤	N1
藩	N1
表現の自由	N1
被告	N1
補助金	N1
解明	N1
解析する	N1
解雇	N1
訴求	N1
訴追する	N1
認証	N1
論説	N1
費える	N1
軋轢	N1
逐次	N1
金利	N1
陥る	N1
随時	N1
雄大	N1
風格	N1
いとしい	N2
ぎこちない	N2
スクープ	N2
それどころか	N2
つくづく	N2
フェイクニュース	N2
もどかしい	N2
やむを得ず	N2
人権	N2
伝承	N2
免疫	N2
具体的	N2
処方	N2
切り出す	N2
判断力	N2
副作用	N2
劣等感	N2
参拝	N2
受注	N2
史跡	N2
和解	N2
報道機関	N2
奇抜	N2
少子化	N2
巻き込む	N2
幕府	N2
引き継ぐ	N2
思い切る	N2
思い知る	N2
思い違い	N2
感情的	N2
成り立ち	N2
打ち明ける	N2
打ち解ける	N2
押し付ける	N2
持ち込む	N2
振る舞い	N2
撤退する	N2
方向性	N2
構築する	N2
気さく	N2
気まずい	N2
気を遣う	N2
気遣い	N2
汲み取る	N2
温暖化	N2
焦り	N2
特性	N2
画期的	N2
発注	N2
視聴率	N2
立ち向かう	N2
端末	N2
納期	N2
絆	N2
絡める	N2
継承する	N2
聞き取る	N2
自動化	N2
落語	N2
葬儀	N2
被害者	N2
見極める	N2
見直し	N2
見落とし	N2
言い張る	N2
言い聞かせる	N2
追い払う	N2
達成感	N2
避難所	N2
重要性	N2
防災	N2
難民	N2
震災	N2
順次	N2
駆け込む	N2
高齢化	N2
ぐずぐず	N3
ぐったり	N3
ぐるぐる	N3
そもそも	N3
ぱっと	N3
ふらふら	N3
ぼろぼろ	N3
もやもや	N3
わくわく	N3
充実感	N3
子育て	N3
徐々に	N3
思いやり	N3
次第に	N3
歌舞伎	N3
残業	N3
注目する	N3
規則	N3
陶芸	N3
